web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2
"1785691962-1","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Choosing The Struggle","Wednesday at 19:00","Free","","Londonderry · Cultúrlann Uí Chanáin","Choosing The Struggle","Save this event: Choosing The Struggle","Share this event: Choosing The Struggle","Save this event: Choosing The Struggle","Share this event: Choosing The Struggle","Wednesday at 19:00","Free","Londonderry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188838794%2F265222288466%2F1%2Foriginal.20260714-152237?crop=focalpoint&fit=crop&w=320&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.547&fp-y=0.3&s=9be9678ef651a55a8724e1297ec97c3f","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188838794%2F265222288466%2F1%2Foriginal.20260714-152237?crop=focalpoint&fit=crop&w=320&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.547&fp-y=0.3&s=9be9678ef651a55a8724e1297ec97c3f"
"1785691962-2","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Did Ye Hear about…Peace and the Political Path","Thursday at 14:00","Free","","Derry · The Gasyard Centre","Did Ye Hear about…Peace and the Political Path","Save this event: Did Ye Hear about…Peace and the Political Path","Share this event: Did Ye Hear about…Peace and the Political Path","Save this event: Did Ye Hear about…Peace and the Political Path","Share this event: Did Ye Hear about…Peace and the Political Path","Thursday at 14:00","Free","Derry · The Gasyard Centre","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912268%2F265222288466%2F1%2Foriginal.20260715-110515?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=d48aca5c2e0503ce2bf3579635ae15ec","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912268%2F265222288466%2F1%2Foriginal.20260715-110515?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=d48aca5c2e0503ce2bf3579635ae15ec"
"1785691962-3","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Coercive Control: Where Is the Line?","Fri 14 Aug, 13:00","Free","","Londonderry · Holywell Trust","Coercive Control: Where Is the Line?","Save this event: Coercive Control: Where Is the Line?","Share this event: Coercive Control: Where Is the Line?","Save this event: Coercive Control: Where Is the Line?","Share this event: Coercive Control: Where Is the Line?","Fri 14 Aug, 13:00","Free","Londonderry · Holywell Trust","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188837169%2F265222288466%2F1%2Foriginal.20260714-150507?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.502&fp-y=0.21&s=4536c84ab84e48a4716be34fea85109f","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188837169%2F265222288466%2F1%2Foriginal.20260714-150507?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.502&fp-y=0.21&s=4536c84ab84e48a4716be34fea85109f"
"1785691962-4","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","The Ethnic Cleansing of the West Bank","Thursday at 19:00","Free","","Derry · Cultúrlann Uí Chanáin","The Ethnic Cleansing of the West Bank","Save this event: The Ethnic Cleansing of the West Bank","Share this event: The Ethnic Cleansing of the West Bank","Save this event: The Ethnic Cleansing of the West Bank","Share this event: The Ethnic Cleansing of the West Bank","Thursday at 19:00","Free","Derry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188737228%2F265222288466%2F1%2Foriginal.20260713-095435?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5ad1b0fa17daf625af5e9ec3e8682dc5","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188737228%2F265222288466%2F1%2Foriginal.20260713-095435?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5ad1b0fa17daf625af5e9ec3e8682dc5"
"1785691962-5","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Eddie Dempsey","Mon 10 Aug, 19:00","Free","","Londonderry · Cultúrlann Uí Chanáin","Eddie Dempsey","Save this event: Eddie Dempsey","Share this event: Eddie Dempsey","Save this event: Eddie Dempsey","Share this event: Eddie Dempsey","Mon 10 Aug, 19:00","Free","Londonderry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188739663%2F265222288466%2F1%2Foriginal.20260713-104800?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5a4021adff25a7f380560e51614f1fb8","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188739663%2F265222288466%2F1%2Foriginal.20260713-104800?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=5a4021adff25a7f380560e51614f1fb8"
"1785691962-6","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","A New Beginning? PSNI: 25 Years On","Wed 12 Aug, 19:00","Free","","Londonderry · Cultúrlann Uí Chanáin","A New Beginning? PSNI: 25 Years On","Save this event: A New Beginning? PSNI: 25 Years On","Share this event: A New Beginning? PSNI: 25 Years On","Save this event: A New Beginning? PSNI: 25 Years On","Share this event: A New Beginning? PSNI: 25 Years On","Wed 12 Aug, 19:00","Free","Londonderry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912649%2F265222288466%2F1%2Foriginal.20260715-111431?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=50faf2bd020b797bb12bff6fd9ca9de6","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912649%2F265222288466%2F1%2Foriginal.20260715-111431?crop=focalpoint&fit=crop&w=640&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=50faf2bd020b797bb12bff6fd9ca9de6"
"1785691962-7","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Ireland’s Unity - Vote YES","Fri 14 Aug, 13:00","Free","","Londonderry · Cultúrlann Uí Chanáin","Ireland’s Unity - Vote YES","Save this event: Ireland’s Unity - Vote YES","Share this event: Ireland’s Unity - Vote YES","Save this event: Ireland’s Unity - Vote YES","Share this event: Ireland’s Unity - Vote YES","Fri 14 Aug, 13:00","Free","Londonderry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912953%2F265222288466%2F1%2Foriginal.20260715-112054?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.502&fp-y=0.595&s=1948b7b0ee7ecb1953aedcd5029071e5","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912953%2F265222288466%2F1%2Foriginal.20260715-112054?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.502&fp-y=0.595&s=1948b7b0ee7ecb1953aedcd5029071e5"
"1785691962-8","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Stormont Sources Podcast Live","Tue 11 Aug, 19:00","Free","","Londonderry · Cultúrlann Uí Chanáin","Stormont Sources Podcast Live","Save this event: Stormont Sources Podcast Live","Share this event: Stormont Sources Podcast Live","Save this event: Stormont Sources Podcast Live","Share this event: Stormont Sources Podcast Live","Tue 11 Aug, 19:00","Free","Londonderry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188740627%2F265222288466%2F1%2Foriginal.20260713-110820?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=445853c4d4502456184c317f7d357f67","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188740627%2F265222288466%2F1%2Foriginal.20260713-110820?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=445853c4d4502456184c317f7d357f67"
"1785691962-9","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Northern Ireland Peace Index Report Launch","Thu 3 Sept, 12:00","Free","","Londonderry · Holywell Trust","Northern Ireland Peace Index Report Launch","Save this event: Northern Ireland Peace Index Report Launch","Share this event: Northern Ireland Peace Index Report Launch","Save this event: Northern Ireland Peace Index Report Launch","Share this event: Northern Ireland Peace Index Report Launch","Thu 3 Sept, 12:00","Free","Londonderry · Holywell Trust","Queen's Institute for Peace, Security and Justice","534 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188367045%2F114788744663%2F1%2Foriginal.20260707-133346?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=14d428b8840c602247f4357a692426ad","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188367045%2F114788744663%2F1%2Foriginal.20260707-133346?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=14d428b8840c602247f4357a692426ad"
"1785691962-10","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Youth Voices: For the Future of Ireland","Thu 13 Aug, 19:00","Free","","Derry · Cultúrlann Uí Chanáin","Youth Voices: For the Future of Ireland","Save this event: Youth Voices: For the Future of Ireland","Share this event: Youth Voices: For the Future of Ireland","Save this event: Youth Voices: For the Future of Ireland","Share this event: Youth Voices: For the Future of Ireland","Thu 13 Aug, 19:00","Free","Derry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912741%2F265222288466%2F1%2Foriginal.20260715-111607?w=1024&auto=format%2Ccompress&q=75&sharp=10&s=b1194ada87e6e8c1a85d20e597197ae4","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912741%2F265222288466%2F1%2Foriginal.20260715-111607?w=1024&auto=format%2Ccompress&q=75&sharp=10&s=b1194ada87e6e8c1a85d20e597197ae4"
"1785691962-11","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","Neutrality Roadshow","Mon 10 Aug, 13:00","Free","","Derry · Cultúrlann Uí Chanáin","Neutrality Roadshow","Save this event: Neutrality Roadshow","Share this event: Neutrality Roadshow","Save this event: Neutrality Roadshow","Share this event: Neutrality Roadshow","Mon 10 Aug, 13:00","Free","Derry · Cultúrlann Uí Chanáin","Gasyard Wall Féile","419 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912405%2F265222288466%2F1%2Foriginal.20260715-110818?crop=focalpoint&fit=crop&w=320&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=3362a0002f2f55730593d3f58fa1011f","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188912405%2F265222288466%2F1%2Foriginal.20260715-110818?crop=focalpoint&fit=crop&w=320&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=3362a0002f2f55730593d3f58fa1011f"
"1785691962-12","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","The Emergency Services & Military Expo","Thu 10 Sept, 10:00","From €20.00","","Westmeath · Radisson Blu Hotel","The Emergency Services & Military Expo","Save this event: The Emergency Services & Military Expo","Share this event: The Emergency Services & Military Expo","Save this event: The Emergency Services & Military Expo","Share this event: The Emergency Services & Military Expo","Thu 10 Sept, 10:00","From €20.00","Westmeath · Radisson Blu Hotel","Stephen Moore","176 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184689298%2F1971046373713%2F1%2Foriginal.20260515-144711?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=91b57cfab485cffac75d3be0add50f79","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1184689298%2F1971046373713%2F1%2Foriginal.20260515-144711?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=91b57cfab485cffac75d3be0add50f79"
"1785691962-13","https://www.eventbrite.ie/d/ireland--donegal/government--events/?page=1","ROE","Thu 15 Oct, 20:00","From £24.54","","Belfast · The Harrison Chambers of Distinction","ROE","Save this event: ROE","Share this event: ROE","Save this event: ROE","Share this event: ROE","Thu 15 Oct, 20:00","From £24.54","Belfast · The Harrison Chambers of Distinction","McKowski Cafe @ The Harrison Hotel","118 followers","","","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188488441%2F174055664208%2F1%2Foriginal.20260708-203133?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=b74196e6d91e37d743482cf231646273","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1188488441%2F174055664208%2F1%2Foriginal.20260708-203133?crop=focalpoint&fit=crop&w=1024&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=b74196e6d91e37d743482cf231646273"
